Time [s], Analyzer Name, Decoded Protocol Result
0.026908916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026918416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026926416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026935916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026943916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026953416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026961416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026970916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026978916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026988416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.026996416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027005916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027013916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027023416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027031416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027040916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027048916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027058416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027066416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027075916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027083916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027093416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027101416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027110916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027118916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027128416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027136416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027145916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027153916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027163416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027171416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027180916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027188916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027198416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027206416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027215916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027223916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027233416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027241416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027250916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027258916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027268416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027276416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027285916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027293916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027303416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027311416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027320916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027328916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027338416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027346416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027355916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027363916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027373416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027381416666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027390916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027398916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.027651041666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.027659041666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.027668541666667,SPI,MOSI: 0x00;  MISO: 0x0F
0.027676541666667,SPI,MOSI: 0x00;  MISO: 0xFF
