Time [s], Analyzer Name, Decoded Protocol Result,,,
0.152365625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152384375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152403167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152421917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152440708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.227549792,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.227568333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.227607958,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.2276265,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.227666083,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.227684625,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.227724208,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.22774275,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.227782333,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.227800875,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.227841417,SPI,MOSI, 0x4C00,  MISO, 0xFFFF
0.227859917,SPI,MOSI, 0xE100,  MISO, 0xFF00
0.227878833,SPI,MOSI, 0x0000,  MISO, 0x0200
0.22790375,SPI,MOSI, 0x0000,  MISO, 0x5677
0.227928792,SPI,MOSI, 0x0000,  MISO, 0x2DF6
0.227953833,SPI,MOSI, 0x0000,  MISO, 0x0002
0.227978208,SPI,MOSI, 0x0000,  MISO, 0x0090
0.228002792,SPI,MOSI, 0x0000,  MISO, 0x7730
0.228027833,SPI,MOSI, 0x0000,  MISO, 0x78FF
0.228052875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228071667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228090417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228109167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228127958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228146708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.2281655,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.22818425,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228203042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228221833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228240583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228259375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228278125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228297,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.22831575,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228334542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228353292,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228372083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228390833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228409625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228428375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228447167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228465917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228484708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228503458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.22852225,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228541,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228559792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228578583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.228597333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.303859625,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.303878167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.303917792,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.303936333,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.303975958,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.303994458,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304034083,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.304052583,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.3040935,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.304112,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.3041525,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.304171,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304210667,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.304229167,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304268792,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.30428725,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304327208,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.30434575,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304385333,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.304403875,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.304444333,SPI,MOSI, 0x0100,  MISO, 0xFFFF
0.304462833,SPI,MOSI, 0x2700,  MISO, 0xFFFF
0.30448175,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304500583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304519375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304538125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304556917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304575667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304594458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304613208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304632,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.30465075,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304669542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304688333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304707083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304725875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304744625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304763417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304782167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304800958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304819708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.3048385,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.30485725,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304876042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304894792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304913583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304932333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304951125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304969875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.304988667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305007417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305026208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305045,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.30506375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305082542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.30510125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305120042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305138792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.305157583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.380184833,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
