Time [s], Analyzer Name, Decoded Protocol Result,,,
0.069464417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069473917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069481917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069491417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069499417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069508917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069516917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069526417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069534417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069543917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069551917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069561417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069569417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069578917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069586917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069596417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069604417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069613917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069621917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069631417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069639417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069648917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069656917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069666417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069674417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069683917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069691917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069701417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069709417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069718917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069726917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069736417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069744417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069753917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069761917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069771417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069779417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069788917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069796917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069806417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069814417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069823917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069831917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069841417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069849417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069858917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069866917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069876417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069884417,SPI,MOSI, 0x00,  MISO, 0xFF
0.069893917,SPI,MOSI, 0x00,  MISO, 0xFF
0.069901917,SPI,MOSI, 0x00,  MISO, 0xFF
