Time [s], Analyzer Name, Decoded Protocol Result
0.019527208333333,SPI,MOSI: 0x2A;  MISO: 0xFF
0.019535208333333,SPI,MOSI: 0xD4;  MISO: 0xFF
0.019544708333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.019552708333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.019584041666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.019592041666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.019601541666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.019609541666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.019639416666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.019647416666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.019656916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.019664916666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.019972208333333,SPI,MOSI: 0x2A;  MISO: 0xFF
0.019980208333333,SPI,MOSI: 0xD4;  MISO: 0xFF
0.019989708333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.019997708333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020028833333333,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020036833333333,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020046333333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020054333333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020084250000000,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020092250000000,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020101750000000,SPI,MOSI: 0x00;  MISO: 0xFF
0.020109750000000,SPI,MOSI: 0x00;  MISO: 0xFF
0.020171458333333,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020179458333333,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020188958333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020196958333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020227041666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020235041666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020244541666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.020252541666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.020282291666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020290291666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020299791666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.020307791666667,SPI,MOSI: 0x00;  MISO: 0xFF
0.020338958333333,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020346958333333,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020356458333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020364458333333,SPI,MOSI: 0x00;  MISO: 0xFF
0.020394291666667,SPI,MOSI: 0x2A;  MISO: 0xFF
0.020402291666667,SPI,MOSI: 0xD4;  MISO: 0xFF
0.020411791666667,SPI,MOSI: 0x00;  MISO: 0x3F
