Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.065923,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065931,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065939,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065947,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065955,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065963,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065971,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065979,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.067318,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.067326,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06736125,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06736925,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.067401,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.067409,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.067441,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.067449,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06749175,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06749975,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.067532,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06754,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06758325,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06759125,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06762325,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06763125,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06766425,SPI,MOSI, 0x00,  MISO, 0x4E,,,,,,,
0.06767225,SPI,MOSI, 0x00,  MISO, 0xA1,,,,,,,
0.06768025,SPI,MOSI, 0x00,  MISO, 0xA3,,,,,,,
0.06768825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06769625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06770425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06771225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06772025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06772825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06773625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06774425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06775225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06776025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06776825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06777625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06778425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
